hashtag	num_langs	de_count	en_count	es_count	pt_count	tr_count	pl_count
GHDÚOGala3	2	0	0	3642	1	0	0
OTDirecto6OCT	2	0	0	3672	3	0	0
Warcraft	2	0	0	2128	2	0	0
GHDÚOLímite3	2	0	0	1739	2	0	0
OTConciertoBernabeu	2	0	0	9398	7	0	0
marketingdigital	2	0	0	12680	15	0	0
ESP	2	0	0	2635	5	0	0
EquiparacionYa	2	0	0	46426	90	0	0
sosprisiones	2	0	0	20964	3	0	0
deporte	2	0	0	4722	8	0	0
MarketingDigital	2	0	0	3106	1	0	0
music	2	0	0	7140	90	0	0
FelizMartes	2	0	0	8173	3	0	0
OT18Gala0	2	0	0	14238	43	0	0
NBA	2	0	0	2789	21	0	0
OTDirecto1NOV	2	0	0	2088	2	0	0
madrid	2	0	0	41696	48	0	0
EleccionesYa	2	0	0	2754	2	0	0
OTDirecto15OCT	2	0	0	1644	3	0	0
halamadrid	2	0	0	24500	32	0	0
ProhibidoRendirse	2	0	0	2102	9	0	0
sorteo	2	0	0	6932	10	0	0
Runtastic	2	0	0	2131	1	0	0
F1	2	0	0	5498	13	0	0
leonesp	2	0	0	10084	6	0	0
GHVIPDBT4	2	0	0	2267	1	0	0
noticias	2	0	0	10116	3	0	0
blog	2	0	0	10173	36	0	0
CuartoMilenio	2	0	0	9534	1	0	0
arte	2	0	0	12825	40	0	0
humor	2	0	0	7800	7	0	0
fashion	2	0	0	5598	52	0	0
GHVIPLímite3	2	0	0	2480	1	0	0
SevillaFC	2	0	0	5327	1	0	0
PokemonLetsGo	1	0	0	0	2	0	0
GoogleAlerts	2	0	0	2074	12	0	0
Alcorcón	1	0	0	1961	0	0	0
Málaga	2	0	0	4224	1	0	0
YoNoVoy	2	0	0	2097	3	0	0
Andalucía	2	0	0	4522	4	0	0
ciencia	2	0	0	6060	4	0	0
CRO	2	0	0	1819	19	0	0
red	2	0	0	5748	16	0	0
Amazon	2	0	0	3536	2	0	0
travel	2	0	0	8728	123	0	0
arquitectura	2	0	0	6212	6	0	0
GrupoB	0	0	0	0	0	0	0
Betis	1	0	0	3244	0	0	0
moda	2	0	0	6621	16	0	0
socialmedia	2	0	0	11272	75	0	0
HalaMadrid	1	0	0	0	8	0	0
GHVIPLímite1	1	0	0	1997	0	0	0
love	2	0	0	6321	72	0	0
lomásleído	2	0	0	5730	2	0	0
OT18Gala2	1	0	0	0	14	0	0
GHVIPGala4	1	0	0	3590	0	0	0
GHVIPLímite4	0	0	0	0	0	0	0
Rusia2018	1	0	0	0	15	0	0
FelizMiércoles	1	0	0	0	1	0	0
startups	2	0	0	4989	2	0	0
VisAVisEnFOX	1	0	0	4722	0	0	0
españa	2	0	0	46326	16	0	0
SemanaSanta	0	0	0	0	0	0	0
Galicia	1	0	0	0	5	0	0
CopaDelRey	1	0	0	0	3	0	0
Vigo	1	0	0	1525	0	0	0
LaLiga	0	0	0	0	0	0	0
MiVoto40	1	0	0	1555	0	0	0
RealMadrid	1	0	0	0	5	0	0
viajes	2	0	0	6531	12	0	0
Weathercloud	1	0	0	0	1	0	0
Marketing	1	0	0	0	5	0	0
FelizSabado	1	0	0	2534	0	0	0
tvtime	4	189	0	7928	171	0	522
Argentina	1	0	0	0	5	0	0
Fortnite	1	0	0	0	14	0	0
Instagram	1	0	0	2794	0	0	0
feedly	2	0	0	8786	30	0	0
VIPDirecto	1	0	0	2960	0	0	0
MiApuesta	0	0	0	0	0	0	0
VideoMTV18del18	1	0	0	0	53	0	0
FelizLunes	1	0	0	0	1	0	0
Oscars	1	0	0	2166	0	0	0
Libros	1	0	0	0	1	0	0
PS4live	0	0	0	0	0	0	0
ViaAl1	1	0	0	0	3	0	0
cine	2	0	0	8970	6	0	0
Europa	1	0	0	1690	0	0	0
LaResistencia	1	0	0	1771	0	0	0
EUROVISION	1	0	0	1779	0	0	0
Cádiz	1	0	0	0	2	0	0
45sindespidos	2	0	0	8302	3	0	0
Spain	1	0	0	0	1	0	0
Turismo	1	0	0	2420	0	0	0
Música	1	0	0	1873	0	0	0
Wallapop	1	0	0	1898	0	0	0
MCJunior	0	0	0	0	0	0	0
Burgos	1	0	0	2262	0	0	0
FactorX1	1	0	0	1784	0	0	0
summer	2	0	0	5604	51	0	0
Del40al1CocaCola	1	0	0	4013	0	0	0
Halloween	1	0	0	1658	0	0	0
BuenosDias	1	0	0	0	2	0	0
Cultura	1	0	0	0	3	0	0
NintendoSwitch	1	0	0	0	30	0	0
YTBattleRoyale	1	0	0	1661	0	0	0
España	1	0	0	0	5	0	0
RT	1	0	0	0	2	0	0
SVFinal2	1	0	0	3112	0	0	0
GHVIPLímite5	1	0	0	0	2	0	0
PNyGCnoSeRinden	1	0	0	1518	0	0	0
BuenasNoches	1	0	0	4075	0	0	0
Bilbao	0	0	0	0	0	0	0
OTDirecto20OCT	1	0	0	0	4	0	0
Google	1	0	0	1602	0	0	0
Zaragoza	1	0	0	0	1	0	0
valencia	2	0	0	4954	1	0	0
barcelona	2	0	0	44602	23	0	0
YouTube	1	0	0	0	8	0	0
verano	2	0	0	8470	3	0	0
OTDirecto22SEP	1	0	0	0	6	0	0
FF	1	0	0	2911	0	0	0
NuevaFotoDePerfil	1	0	0	0	3	0	0
GHDÚOGala5	1	0	0	1997	0	0	0
tecnología	2	0	0	5230	3	0	0
turismo	2	0	0	12138	23	0	0
OTDirecto30SEP	1	0	0	0	2	0	0
GHVIP15S	1	0	0	0	1	0	0
OTChat	0	0	0	0	0	0	0
aynıgemidedeğiliz	2	6	0	0	0	20504	0
elçinsangu	2	9	0	0	0	6216	0
soundcloud	5	1444	0	1233	461	4972	82
mtvbrkpopbts	4	8	0	3240	304	12984	0
sondaki̇ka	2	8	0	0	0	2673	0
idol	3	20	0	0	0	4280	384
ivotebtsbbmas	2	4	0	0	0	11016	0
öncemilletöncememleket	2	24	0	0	0	4656	0
iheartawards	5	65	0	14616	820	14382	751
esc2018	3	10523	0	0	0	52	50
safiyeincitutuklansın	2	12	0	0	0	4002	0
repost	4	216	0	13731	56	5800	0
merkel	3	8160	0	0	0	39	139
ulaştunaastepe	2	6	0	0	0	5952	0
army	4	8	0	4210	146	7923	0
galatasaray	2	248	0	0	0	7311	0
mtvbrkpopexo	2	4	0	0	0	4020	0
bts	5	172	0	5650	1112	54176	787
twitteryıldönümüm	2	12	0	0	0	10602	0
beşiktaşınmaçıvar	2	68	0	0	0	10566	0
nsu	3	4728	0	0	0	24	1
berlin	3	10588	0	0	0	104	86
protestoediyorum	2	3	0	0	0	3468	0
bestfanarmy	4	16	0	4252	220	12420	0
neftah	2	32	0	0	0	5751	0
29ekim1923	2	4	0	0	0	3468	0
gerswe	3	4265	0	0	0	93	327
alpnavruz	2	16	0	0	0	4011	0
fenerbahce	2	28	0	0	0	3483	0
premiosmtvmiaw	4	36	0	7936	348	42524	0
tearitupbts	3	32	0	0	0	15116	954
29ekim	2	9	0	0	0	4940	0
kcamexico	5	905	0	10509	134	3768	211
muhsinyazıcıoğlu	2	9	0	0	0	3632	0
dhdl	3	4775	0	0	0	15	2
yürüönümüzde	2	9	0	0	0	3896	0
konya	2	3	0	0	0	3492	0
twitter	5	9860	0	6138	28	456	107
börü	2	6	0	0	0	4008	0
halka	2	21	0	0	0	4760	0
23nisankutluolsun	2	8	0	0	0	3120	0
ufaktefekcinayetler	2	39	0	0	0	9264	0
euro2024	2	69	0	0	0	4084	0
yeniprofilresmi	2	8	0	0	0	9099	0
choiceinternationalartist	2	3	0	0	0	4872	0
bebekkatilipkk	2	12	0	0	0	3084	0
yağhaz	2	8	0	0	0	9453	0
seçim2018	2	136	0	0	0	11283	0
kcaargentina	2	6	0	0	0	4124	0
chemnitz	3	4670	0	0	0	9	44
seçkinözdemir	2	3	0	0	0	3412	0
siyahbeyazaşk	2	39	0	0	0	16404	0
ahmetkaya	2	6	0	0	0	4192	0
pantenealtınkelebek	2	20	0	0	0	3591	0
mustafakemalatatürk	2	9	0	0	0	3736	0
kazanacağız	2	12	0	0	0	4100	0
elimibırakma	2	4	0	0	0	5151	0
nakba70	2	24	0	0	0	3720	0
alikocbaskan	2	36	0	0	0	4383	0
sendepatile	2	3	0	0	0	7856	0
tektipaskerlik	2	6	0	0	0	6072	0
borankuzum	2	3	0	0	0	5316	0
seehofer	3	5828	0	0	0	12	18
tamzamanialikoc	2	28	0	0	0	4899	0
saldırgalatasaray	2	87	0	0	0	16136	0
beşiktaş	2	81	0	0	0	8300	0
8martdünyakadınlargünü	2	8	0	0	0	6249	0
türkiye	2	117	0	0	0	4676	0
30ağustos	2	6	0	0	0	3632	0
mutluyıllar	2	9	0	0	0	9572	0
15temmuz	2	24	0	0	0	3884	0
hemnefes	2	3	0	0	0	4064	0
korayşener	2	9	0	0	0	3988	0
afd	3	13385	0	0	0	12	18
hayırlıcumalar	2	48	0	0	0	12152	0
tatort	3	9068	0	0	0	9	8
kılıçdaroğlunesöyledi	2	24	0	0	0	3342	0
btsarmy	4	18	0	8004	800	34436	0
kpss	2	3	0	0	0	8652	0
birceakalay	2	4	0	0	0	5604	0
exo	4	12	0	11024	126	12444	0
wm2018	3	12782	0	0	0	63	63
mamavote	2	27	0	0	0	3780	0
asfer	2	4	0	0	0	7518	0
i̇zmir	2	12	0	0	0	5188	0
unutmayacağız	2	4	0	0	0	2769	0
avlu	2	24	0	0	0	3273	0
bumamabenden	2	72	0	0	0	45234	0
hamburg	3	5479	0	0	0	4	19
sondakika	2	924	0	0	0	2592	0
secim2018	2	21	0	0	0	3416	0
hayvanasiddetsuctur	2	3	0	0	0	5408	0
erkencikuş	2	27	0	0	0	4388	0
emeklilikteyaşatakılanlar	2	6	0	0	0	49892	0
maltepe	2	20	0	0	0	4143	0
10kasım	2	4	0	0	0	6921	0
worldcup	5	1052	0	4138	885	7968	3144
bvb	3	4293	0	0	0	32	47
trump	3	3870	0	0	0	516	224
newerawitherdogan	2	12	0	0	0	2631	0
dirilişertuğrul	2	20	0	0	0	2742	0
neşetertaş	2	24	0	0	0	3741	0
sonsayfa	2	39	0	0	0	6824	0
fenerinmaçıvar	2	44	0	0	0	11373	0
bugüngünlerdengalatasaray	2	88	0	0	0	10920	0
ger	3	6028	0	0	0	1136	185
ahbusevdaluk	2	8	0	0	0	2826	0
yunanistan	2	18	0	0	0	3428	0
donuyoruz	2	6	0	0	0	3880	0
pcas	2	9	0	0	0	6752	0
devam	2	255	0	0	0	3248	0
clearilehaftanıngolü	2	12	0	0	0	2787	0
maaßen	3	4500	0	0	0	6	4
trabzonspor	2	104	0	0	0	3402	0
hileon	2	3	0	0	0	10140	0
firstdates	3	6125	0	0	0	12	37
reisçünkü	2	24	0	0	0	4836	0
teenchoice	2	3	0	0	0	15152	0
promibb	3	4624	0	0	0	12	4
vakittürkiyevakti	2	15	0	0	0	4832	0
başkanerdoğan	2	12	0	0	0	7068	0
mtvlafanarmybts	2	3	0	0	0	3868	0
perşembe	2	20	0	0	0	8901	0
azcen	2	3	0	0	0	4960	0
korger	3	3404	0	0	0	48	230
méxico	2	0	0	3376	6	0	0
ot18gala3	2	0	0	31350	36	0	0
masterchef	2	0	0	14364	1	0	0
ot2018	2	0	0	4418	63	0	0
ilpjusapol	2	0	0	6345	14	0	0
mundialrusia2018	2	0	0	5766	8	0	0
sevilla	2	0	0	21318	4	0	0
ghdúoestreno	2	0	0	13995	3	0	0
eurovision2018	2	0	0	8868	10	0	0
e32018	4	440	0	9578	3	0	357
extremadura	2	0	0	5292	2	0	0
ucl	4	139	0	4012	240	0	475
ot18galanavidad	2	0	0	8757	10	0	0
asturias	2	0	0	6752	3	0	0
ot18gala12	2	0	0	13206	12	0	0
felizañonuevo	2	0	0	5514	3	0	0
championsleague	2	0	0	6909	42	0	0
affinitweet	4	11	0	10989	66	0	722
navidad	2	0	0	10005	12	0	0
fifa19	2	0	0	4656	54	0	0
venezuela	2	0	0	15903	22	0	0
llibertatpresospolítics	2	0	0	5307	1	0	0
somoslaaudiencia1n	2	0	0	6720	2	0	0
tcms	2	0	0	5232	10	0	0
insatiable	2	0	0	5097	6	0	0
ot18gala6	2	0	0	19830	34	0	0
facebook	4	531	0	7674	21	0	196
ps4	4	407	0	8676	6	0	93
motogp	2	0	0	3772	12	0	0
ps4share	4	376	0	39240	186	0	446
murcia	2	0	0	11697	2	0	0
yanoquierona	2	0	0	4587	36	0	0
messi	2	0	0	4335	174	0	0
tuitutil	2	0	0	464858	7422	0	0
mianiversariodetwitter	2	0	0	6659	16	0	0
fra	4	129	0	3228	12	0	278
mivotolca	2	0	0	4328	4	0	0
ghdúogala3	2	0	0	7284	2	0	0
otdirecto6oct	2	0	0	5508	6	0	0
warcraft	2	0	0	4256	4	0	0
ghdúolímite3	2	0	0	3478	4	0	0
otconciertobernabeu	2	0	0	14097	14	0	0
esp	2	0	0	5270	10	0	0
equiparacionya	2	0	0	69639	180	0	0
felizmartes	2	0	0	16346	6	0	0
ot18gala0	2	0	0	28476	86	0	0
nba	2	0	0	5578	42	0	0
otdirecto1nov	2	0	0	4176	4	0	0
eleccionesya	2	0	0	5508	3	0	0
otdirecto15oct	2	0	0	3288	6	0	0
prohibidorendirse	2	0	0	4204	18	0	0
runtastic	4	399	0	4262	2	0	42
f1	4	189	0	10996	26	0	531
ghvipdbt4	2	0	0	4534	2	0	0
cuartomilenio	2	0	0	19068	2	0	0
ghviplímite3	2	0	0	4960	2	0	0
sevillafc	2	0	0	10654	2	0	0
pokemonletsgo	2	0	0	1627	4	0	0
googlealerts	2	0	0	4148	24	0	0
alcorcón	2	0	0	3922	1	0	0
málaga	2	0	0	8448	2	0	0
yonovoy	2	0	0	4194	6	0	0
andalucía	2	0	0	9044	8	0	0
cro	4	71	0	3638	38	0	466
amazon	2	0	0	7072	4	0	0
grupob	2	0	0	2181	3	0	0
betis	2	0	0	6488	1	0	0
ghviplímite1	2	0	0	3994	1	0	0
ot18gala2	2	0	0	10385	28	0	0
ghvipgala4	2	0	0	7180	1	0	0
ghviplímite4	2	0	0	2648	2	0	0
rusia2018	2	0	0	12833	30	0	0
felizmiércoles	2	0	0	4429	2	0	0
visavisenfox	2	0	0	9444	4	0	0
semanasanta	2	0	0	1612	1	0	0
galicia	2	0	0	3695	10	0	0
copadelrey	2	0	0	2401	6	0	0
vigo	2	0	0	3050	10	0	0
laliga	2	0	0	3840	7	0	0
mivoto40	2	0	0	3110	2	0	0
weathercloud	2	0	0	20983	2	0	0
felizsabado	2	0	0	5068	2	0	0
argentina	2	0	0	1907	10	0	0
fortnite	2	0	0	3641	28	0	0
vipdirecto	2	0	0	5920	1	0	0
miapuesta	2	0	0	2163	1	0	0
videomtv18del18	2	0	0	1658	106	0	0
felizlunes	2	0	0	9699	2	0	0
