	Country Pair	Country	betweenness	domain	hashtag	entertainment	politics	sports	promotion	Other Country	alpha2	alpha3	country	language	total_pop_2018	Other Country_other	alpha2_other	alpha3_other	language_other	total_pop_2018_other	num_migrants_c1_c2	num_migrants_c2_c1	num_migrants_dest_c1	num_migrants_dest_c2	num_migrants_source_c1	num_migrants_source_c2	percent_migrants_source_c1	percent_migrants_source_c2	percent_migrants_dest_c1	percent_migrants_dest_c2	percent_c2_migrants_from_c1	percent_c1_migrants_from_c2	population_difference	population_ratio	contiguous	historically_same_country	distance	tradeflow_country_to_other	tradeflow_other_to_country	timezone	timezone_other	pop	pop_other	iso3_o	iso3_d	gdp_o	gdp_d	gdpcap_o	gdpcap_d	eu_o	eu_d	rta	num_conflicts_c1_to_c2	num_conflicts_c2_to_c1	percent_conflicts_c1_to_c2	percent_conflicts_c2_to_c1	linguistic_closeness	linguistic_distance	log_trade_c1_c2	log_trade_c2_c1	log_pop_o	log_pop_d	log_gdp_o	log_gdp_d	log_gdpcap_o	log_gdpcap_d	time_difference_c2_c1	log_dist
10	EE_ES	ES	0.0184294393473215	1.10215869109953	1.03836689177715	0.776917898892594	0.15699999667333	1.07492680954852	1.13095748114787	EE	ES	ESP	ES	es	46797754.0	EE	EE	EST	et	1321977.0	770.0	2093.0	6105479.0	134370.0	1453098.0	201868.0	0.031050592727163786	0.15270159768286437	0.1304652142066476	0.10164322072169182	0.005730445784029173	0.0003428068461131387	45475777.0	35.39982465655605	0	0	2895.3837890625	238272.4765	188823.875	1.0	2.0	47076.782	1326.59	ESP	EST	1393490524.518	31471100.656	29.6	23.723000000000003	1.0	1.0	1.0	0.0	1.0	0.0	0.0333333333333333	0	3	12.381170157045727	12.148569981266377	10.75953520729641	7.190367018995804	21.05507760509136	17.26458024319861	3.3877743613300146	3.1664450416802277	1.0	7.970872950844872
11	ES_FI	ES	0.001174485941285		0.927469428810618	1.8636072222275	1.18176867441628			FI	ES	ESP	ES	es	46797754.0	FI	FI	FIN	fi	5515525.0	2774.0	11371.0	6105479.0	265136.0	1453098.0	292426.0	0.031050592727163786	0.053018706288159335	0.1304652142066476	0.048070854542405304	0.010462555066079295	0.001862425536145485	41282229.0	8.484732459738646	0	0	2952.19458007812	1095869.6875	1421266.0	1.0	2.0	47076.782	5520.314	ESP	FIN	1393490524.518	269296310.18	29.6	48.783	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0	3	13.907058841154715	14.167058581679205	10.75953520729641	8.616190021711276	21.05507760509136	19.411322856165494	3.3877743613300146	3.887381891511695	1.0	7.990304098208697
12	ES_FR	ES	0.116776580223791	1.51947498474969	1.45493817401882	1.33267544106732	1.40892351778226	1.62325428712263	1.23188836696396	FR	ES	ESP	ES	es	46797754.0	FR	FR	FRA	fr	66965912.0	315179.0	202792.0	6105479.0	7969551.0	1453098.0	2207397.0	0.031050592727163786	0.03296299466510663	0.1304652142066476	0.11900907136156079	0.03954789924802539	0.033214756778297	-20168158.0	0.6988294880535637	1	0	1054.65637207031	49088204.0	42216734.0	1.0	1.0	47076.782	67059.891	ESP	FRA	1393490524.518	2715518274.227	29.6	40.494	1.0	1.0	1.0	9.0	15.0	0.0276073619631901	0.0106382978723404	3	0	17.709129319502257	17.55832724068928	10.75953520729641	11.113341394608819	21.05507760509136	21.72224866501587	3.3877743613300146	3.7011538149893246	0.0	6.9609702791765145
13	ES_GB	ES	0.0467928419449714	2.04867887797616	1.44498915192398	1.49895949210674	1.48094603075762	0.799506328880284	1.60566035318332	GB	ES	ESP	ES	es	46797754.0	GB	GB	GBR	en	66460344.0	157000.0	258965.0	6105479.0	9063422.0	1453098.0	4820072.0	0.031050592727163786	0.07252553492651197	0.1304652142066476	0.13637338380312927	0.017322375588381518	0.04241518151155708	-19662590.0	0.7041455277450867	0	0	1263.37878417969	21972959.0	13907816.0	1.0	0.0	47076.782	66834.40400000001	ESP	GBR	1393490524.518	2829108219.166	29.6	42.33	1.0	1.0	1.0	21.0	16.0	0.0644171779141104	0.0060286360211002	1	2	16.905323118951298	16.447961542226572	10.75953520729641	11.109973256882459	21.05507760509136	21.76322738203932	3.3877743613300146	3.745496054532832	-1.0	7.141544985684446
14	ES_IE	ES	0.0138730556891625	2.06302590756442	1.44554765821909	1.4972857417469	1.4848920400003	0.783098064216337	1.62087728323808	IE	ES	ESP	ES	es	46797754.0	IE	IE	IRL	en	4867316.0	8336.0	13863.0	6105479.0	836534.0	1453098.0	770861.0	0.031050592727163786	0.1583749647649752	0.1304652142066476	0.17186761656732374	0.009964926709494174	0.0022705835201464125	41930438.0	9.614694012059212	0	0	1450.23583984375	1748284.6875	2920716.25	1.0	1.0	47076.782	4941.444	ESP	IRL	1393490524.518	388698711.3480001	29.6	78.661	1.0	1.0	1.0	2.0	2.0	0.0061349693251533	0.0133333333333333	1	2	14.37414568663912	14.887339435261413	10.75953520729641	8.505412875160706	21.05507760509136	19.778315080530103	3.3877743613300146	4.365147479864629	0.0	7.279481470356944
15	ES_HU	ES	0.0012817889912454	0.882790088519877	0.553026686309628	0.439233182307399	0.729209094496519		1.2064850855626	HU	ES	ESP	ES	es	46797754.0	HU	HU	HUN	hu	9775564.0	2214.0	9095.0	6105479.0	476484.0	1453098.0	705169.0	0.031050592727163786	0.0721358890392411	0.1304652142066476	0.04874235389385206	0.004646535875286474	0.0014896456117529846	37022190.0	4.787217801448592	0	0	1977.70495605469	2028063.0	3398023.75	1.0	1.0	47076.782	9769.949	ESP	HUN	1393490524.518	163469042.868	29.6	16.732	1.0	1.0	1.0	1.0	0.0	0.0030674846625766	0.0	0	3	14.522591708299458	15.03870457059512	10.75953520729641	9.187066524961791	21.05507760509136	18.912134190117573	3.3877743613300146	2.817323053579952	0.0	7.589692338293737
16	ES_IS	ES	-0.0044766072866618	2.70740983174991e-05	2.08057403290229	2.64281147302672		2.22832974483996e-05		IS	ES	ESP	ES	es	46797754.0	IS	IS	ISL	is	352721.0	631.0	1068.0	6105479.0	41050.0	1453098.0	39876.0	0.031050592727163786	0.11305252593409522	0.1304652142066476	0.1163809356403503	0.015371498172959805	0.00017492485028611186	46445033.0	132.67640429688055	0	0	2894.70092773438	114907.43	280985.5585	1.0	0.0	47076.782	361.3130000000001	ESP	ISL	1393490524.518	24188038.474	29.6	66.945	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1	2	11.651882126672183	12.54605855375677	10.75953520729641	5.889744618685364	21.05507760509136	17.001368790997425	3.3877743613300146	4.203871386749343	-1.0	7.970637078188534
17	ES_IT	ES	0.0407503439532573	1.98522404353739	1.23783674294654	1.30130571990163	0.87994492490392	1.86385305358683	3.13114165770439	IT	ES	ESP	ES	es	46797754.0	IT	IT	ITA	it	60421760.0	31953.0	109153.0	6105479.0	5906811.0	1453098.0	3236664.0	0.031050592727163786	0.05356785370038873	0.1304652142066476	0.09775966473005751	0.005409517927693979	0.01787787657610484	-13624006.0	0.7745182199260664	0	0	1366.76049804688	25032331.0	25536833.0	1.0	1.0	47076.782	60297.398	ESP	ITA	1393490524.518	2003576145.498	29.6	33.228	1.0	1.0	1.0	4.0	10.0	0.0122699386503067	0.0172117039586919	3	0	17.035678787317895	17.055632399313666	10.75953520729641	11.007044230872143	21.05507760509136	21.418199493556337	3.3877743613300146	3.5033928939768253	0.0	7.220198618774972
18	ES_LT	ES	-0.0225120640666877	0.545713251293419	1.35224738295176	1.60418754884206		1.77381369377496	0.958310754669704	LT	ES	ESP	ES	es	46797754.0	LT	LT	LTU	lt	2801543.0	586.0	14395.0	6105479.0	222894.0	1453098.0	652985.0	0.031050592727163786	0.23308048457582126	0.1304652142066476	0.07956115612003814	0.0026290523746713684	0.0023577183706634647	43996211.0	16.704278320911012	0	0	2666.38427734375	1071642.3435	1090851.0	1.0	2.0	47076.782	2786.844	ESP	LTU	1393490524.518	54627411.86	29.6	19.602	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1	2	13.884702930149638	13.902468683536073	10.75953520729641	7.9326650517495665	21.05507760509136	17.81604636344879	3.3877743613300146	2.975631601846988	1.0	7.888478630390392
19	ES_LV	ES	-0.0212027026057077		0.893994729754376	1.04157580760769	0.453186544661983	0.501971739531799	1.5951132507449e-07	LV	ES	ESP	ES	es	46797754.0	LV	LV	LVA	lv	1927174.0	158.0	4123.0	6105479.0	259106.0	1453098.0	397745.0	0.031050592727163786	0.2063876951432512	0.1304652142066476	0.13444867977670932	0.0006097890438662169	0.0006752950915071528	44870580.0	24.28309742659459	0	0	2715.84985351562	323897.125	187490.664	1.0	2.0	47076.782	1912.789	ESP	LVA	1393490524.518	34102913.581999995	29.6	17.829	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1	2	12.68818122892367	12.14148433115294	10.75953520729641	7.556317665395668	21.05507760509136	17.34489338089115	3.3877743613300146	2.8808263450526335	1.0	7.906860204939726
